 'CF'  56.688968  57822.15    5932.342    2548.7004   -1206.2574   344.13758   -56.977514  5.0764072    -.18781085
 'CF2'  61.19357   -41587.974  6001.2067   7046.2239   -3656.9788   1128.5568   -203.26455  19.677613    -0.78961654
 'CF3'  65.478092  -122706.85  7333.2506   12015.175   -6536.7819   2080.8029   -382.67373  37.581882    -1.5234514
 'CF4'  62.684854  -226568.48  7792.9948   17090.916   -9230.586    2923.4306   -535.57628  52.434991    2.1199771
 'FO'  58.734835  30401.266   6551.4640   2343.0924  -1291.1582    414.41305  -76.667520  7.5641493     -.30776730
 'Pb'  46.176103  45488.638   4239.7002   1815.2284   -2026.3625   1071.0798   -256.3866   28.827311    -1.250163
 'PbO'  65.038892  9332.8918   7169.3937   1795.0504   -958.30503   302.72918   -55.253911  5.5205241    -0.23011892
 'AlCl' 63.478452  -13372.299  7951.6749   1106.6573   -603.89961   205.22967   -40.460244  4.4182662    -0.20036230
 'AlCl2' 82.448259  -79591.094  11647.049   2411.5284   -1406.5219   470.36353   -89.764761  9.0740465    -0.37644653
 'AlCl3' 92.693202  -147586.69  15979.436   4067.1232   -2328.2747   764.61178   -143.40194  14.260425    -0.58269795
 'AlO'  58.519749  17408.493   6367.0514   2505.3047   -1330.6498   420.95791   -76.919681  7.5743928    -0.30962628
 'Al2O' 73.475224  -35689.875  10192.913   3849.2796   -2198.8153   723.29057   -136.16917  13.608812    -0.55917125
 'AlF2'  72.194477  -176494.3   9289.3615   4635.7446   -2594.8544   841.95312   -156.99397  15.582040    -0.63700017
 'AlF3' 75.164401  -289548.3   11680.465   8182.9369   -4564.8897   1475.6287   -273.92918  27.050368    1.0998340
 'Al'   45.630131  74570.055   5143.7352   -182.22582  100.85343    -31.783806  5.8466711   -0.61930206  0.032455259
 'Al(300-932)'     11.832782  -1573.0542  4925.1155  1508.2797 -16.542353   0. 0. 0. 0.
 'Al(932-4300)'    17.5971    27.295485  7399.6482  .12948462  -.014975024  0. 0. 0. 0.
 'Al2O3(300-900)'  7.6541058  -404481.78 7486.9835  24908.981  -9664.4526   0. 0. 0. 0.
 'Al2O3(900-2303'  39.648634  -409623.76 26247.71   1673.9334  56.712994    0. 0. 0. 0.
 'Al2O3(2303-6000' 53.000175  -391289.13 34599.381  0.1452368  -0.010641708 0. 0. 0. 0.
 'C(300-900)'      -3.9459573 -117.75699 -1333.2721 6590.5533  -2317.0757   0. 0. 0. 0.
 'C(900-2000)'     3.209187   -1300.5239 2912.1362  1450.7057  -224.29443   0. 0. 0. 0.
 'C(2000-5000)'    5.2124762  -2879.2607 5316.3926  203.21423  -4.55031     0. 0. 0. 0.

